ID,名字,描述,获得方式
15052,Proyektil-Monster Kecil,Monster Proyektil,@Null@
15053,Proyektil-Dango Liar,Monster Proyektil,@Null@
15054,Proyektil-Bola Api Naga Hitam,Monster Proyektil,@Null@
15055,Proyektil-Pilar Lava Naga Hitam,Monster Proyektil,@Null@
15056,Proyektil-Bola Lava Naga Hitam,Monster Proyektil,@Null@
15057,Proyektil-Bola Chaos Naga Hitam,Monster Proyektil,@Null@
15058,Proyektil-Alien A,@Null@,@Null@
15059,Proyektil-Alien B,@Null@,@Null@
15060,Proyektil-Alien C,@Null@,@Null@
15061,Proyektil-Rocki,@Null@,@Null@
15062,Proyektil-Frosti,@Null@,@Null@
15063,Proyektil-Bulli,@Null@,@Null@
15064,Proyektil-Frocki,@Null@,@Null@
15065,Proyektil-Roclli,@Null@,@Null@
15066,Proyektil-Froslli,@Null@,@Null@
15067,Proyektil-Graviti,@Null@,@Null@
15068,Proyektil-Pemanah Chaos,Proyektil dari monster,@Null@
15069,Penjaga rentang proyektil,@Null@,@Null@
15070,Penjaga rentang proyektil,@Null@,@Null@
15071,Penjaga rentang proyektil,@Null@,@Null@
15072,Projyektil-Boss Monster Nian,@Null@,@Null@
15073,Proyektil - Bola Pasir,Sebuah proyektil yang terbuat dari pasir sangat kuat.,
15074,Proyektil - Tombak Pasir,Tombak yang terbuat dari pasir tidak kurang dari tombak asli.,
15075,Proyektil - Camel Saliva,Baunya bau dan menghina.,
15076,Lemparan-Peluru Perak Padat,,
15500,Panci,Ini bukan utk main-main!,@Null@
15501,Peluru Senapan Mesin Ringan,Pakai senapan mesin utk tembak,@Null@
15502,Peluru Pistol,Pakai pistol koboi utk tembak,@Null@
15503,Peluru Senapan Sniper,Pakai senapan runduk utk tembak,@Null@
15504,Peluru Senapan Mesin Berat,Pakai M2Browning utk tembak,@Null@
15505,Batu Raksasa Void,@Null@,@Null@
15506,Bom Bola,"Lemparkan dan ia akan meledak dalam beberapa saat.
#cfa7a0fCara buka :  #n buka dengan mini beans",@Null@
15507,Es Dart,"#c0aba1dCharge#n di lokasi target dan lemparkan. Jika menabrak makhluk, itu akan #c0aba1dslow#n makhluk itu turun. Jika mengenai blok, Natural Ice akan dihasilkan.",
15508,Bola Lava,"Lempar ke target utk membuatnya terbakar
#cfa7a0fCara buka :  #n buka dengan mini beans",@Null@
15509,Boss Mathanus-Laser Knockback,@Null@,@Null@
15510,Boss Mathanus-Laser Es,@Null@,@Null@
15511,Boss Mathanus-Laser Ledakan,@Null@,@Null@
15512,Boss Mathanus-Tsunami Batu,@Null@,@Null@
15513,Boss Mathanus-Skill Lengan Biru,@Null@,@Null@
15514,Boss Mathanus-Skill Lengan Putih,@Null@,@Null@
15515,Monster Mathanus-Projeksi biru,@Null@,@Null@
15516,Monster Mathanus-Projeksi putih,@Null@,@Null@
15517,Monster Mathanus-Skill Biru,@Null@,@Null@
15518,Monster Mathanus-Skill Putih,@Null@,@Null@
15519,Bola Lava Naga Hitam,Lemparkan ke tanah untuk menghasilkan lava.  #cfa7a0f Buka : #n buka dengan mini beans,@Null@
15520,Bola Chaos Naga Hitam,Lemparkan untuk menghasilkan Chaos Archer. Ia dapat menembakkan beberapa panah sekaligus.  #cfa7a0f Buka : #n buka dengan mini beans,@Null@
15521,Kamera video,@Null@,@Null@
15522,berbentuk kubus,@Null@,@Null@
15523,Badan kapsul (vertikal),@Null@,@Null@
15524,Bola,@Null@,@Null@
15525,Kubus Tengah,@Null@,@Null@
15526,Badan kapsul (horizontal),@Null@,@Null@
15527,Badan kapsul (lurus),@Null@,@Null@
15528,Kembang Api Penghapus Properti Fisik,Dapat digunakan di dalam peta. Dapat mmbersihkan item yang mempunyai fisikal karakteristik setelah diluncurkan ke angkasa dengan cepat,@Null@
15529,Pistol Penghapus Properti Fisik,Pistol yang dapat menembakkan peluru energi.#c0aba1dMerupakan pistol penghapus properti fisikal#n#rCatatan: Amunisi tidak akan dikonsumsi,@Null@
15530,Roda,Hapus objek fisik saat dipukul,@Null@
15531,Blok Bodi Mobil,@Null@,@Null@
15532,Roda,@Null@,@Null@
15533,poros kemudi,@Null@,@Null@
15534,Mesin,@Null@,@Null@
15535,Kursi pengemudi,@Null@,@Null@
15536,Roda Depan Kanan,@Null@,@Null@
15537,Roda Belakang Kiri,@Null@,@Null@
15538,Roda Belakang Kanan,@Null@,@Null@
15539,Proyektil-Laba-Laba,Proyektil monster,@Null@
15540,@Null@,@Null@,@Null@
15541,@Null@,@Null@,@Null@
15542,@Null@,@Null@,@Null@
15543,@Null@,@Null@,@Null@
15544,@Null@,@Null@,@Null@
15545,@Null@,@Null@,@Null@
15546,@Null@,@Null@,@Null@
15547,@Null@,@Null@,@Null@
15548,@Null@,@Null@,@Null@
15549,@Null@,@Null@,@Null@
15550,@Null@,@Null@,@Null@
16000,Lencana besi,,
16001,Lencana perunggu,,
16002,Lencana perak,,
16003,Lencana emas,,
16004,Lencana emas ungu,,
16005,Lencana Ruby,,
16006,lencana berlian,,
16007,Koin Roh Keemasan,Bisa tukar berjenis-jenis item dalam toko event.,
20000,Pintu Kayu Oranye-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20001,Pintu Merah Manggis-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20002,Pintu Gading Putih-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20003,Pintu Besi Emas-Shard,Pakai di arsip setelah unlock. Dapat di kebun.,
20004,Pintu Kayu Pink-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20005,Pintu Ambar Kuning-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20006,Pintu Kayu Jingga Ginger-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20007,Lampu Serat Kayu-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20008,Lampu Kaca Putih-Shard,Bisa dipakai di arsip setelah unlock. Cara dapat: buah kebun.,
20009,Lampu Kaca Oranye-Shard,Pakai di arsip setelah unlock. Dapat di kebun.,
20010,Lampu Kaca Magenta-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20011,Lampu Kaca Biru Muda-Shard,Digunakan dalam arkib setelah diunlock. Cara dapatkanya: Buah kebun,
20012,Lampu Kaca Kuning-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20013,Lampu Kaca Hijau Muda-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20014,Lampu Kaca Pink-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20015,Lampu Kaca Abu-abu-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20016,Lampu Kaca Abu-abu Muda-Shard,Digunakan dalam arkib setelah diunlock. Cara dapatkanya: Buah kebun,
20017,Lampu Kaca Hijau Aqua-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20018,Lampu Kaca Ungu Violet-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20019,Lampu Kaca Biru-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20020,Lampu Kaca Merah Manggis-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20021,Lampu Kaca Hijau-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20022,Lampu Kaca Merah-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20023,Lampu Kaca Hitam-Shard,Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20024,Fondasi Beton-Shard,"Beton yg sangat kuat, tidak goyah",@Null@
20025,Fondasi Tanah Kering-Shard,Blok yg sangat kuat dan tak dapat dirusakkan (meski terlihat agak aneh),@Null@
20026,Batu Ultra Putih-Shard,Batu putih yg cocok utk jadi lantai. Tak perlu takut rusak.,@Null@
20027,Fondasi Es Keras-Shard,Dingin dan keras. Tak mungkin rusak.,@Null@
20028,Fondasi Papan Besi-Shard,Sangat kuat,@Null@
20029,Sweety Waitress-Shard,Dress-up sweety waitress yg imut. Check pada #cfa7a0f Toko - Skin #n. Dapat di kebun.,@Null@
20030,Mohist Xiaofei-Shard,Unlock dress-up - Mohist Xiaofei. Check pada #cfa7a0f Toko - Skin #n. Dapat di kebun.,@Null@
20031,Shard Laosaurus,"Laosaurus, kemampuan lari yg sangat cepat. Check pada #cfa7a0f Toko - Tunggangan #n. Dapat di kebun.",@Null@
20032,Tupai Terbang-Shard,Tupai terbang. Dikabarkan bisa terbang hingga ke angkasa. Check pada #cfa7a0f Toko - Tunggangan #n. Dapat di kebun.,@Null@
20033,Kylin-Shard,Unicorn yg elegan. Check pada #cfa7a0f Toko - Tunggangan #n. Dapat di kebun.,@Null@
20034,Chocobo-Shard,Dipakai utk unlock Hawkstrider,@Null@
20035,Misoso-Shard,"Pecinta lingkungan Mini World, berjuang utk membuat lingkungan lebih baik. Check pada #cfa7a0f Toko - Skin #n. Dapat di: pelindung dunia",@Null@
20036,Gajah-Shard,"Tunggangan yang unik dan menggemaskan, si gajah putih. Sangat kuat. Cek pada #cfa7a0f Toko-Tunggangan #n. Serpihan bisa didapatkan dari kebun.",@Null@
20037,Eva-Shard,Bidadari yang baik dan sangat jujur. Ia adalah malaikat yang selalu melindungi kita di Mini World. Cek di cca7c00Toko-Skin#n. Dapatkan dari event.,@Null@
20038,Anjing Laut-Shard,"Tunggangan anjing laut yang lucu, ungul dalam berenang. Cek #cfa7a0fthe di Toko-Tunggangan#n. Dapatkan dari event.",@Null@
20039,Kursi-Shard,Kursi kuning gelap yang nyaman. Pakai di arsip setelah unlock.,
20040,Meja Kayu-Shard,"Meja Kayu Kuning Gelap yang berguna, pakai di arsip setelah unlock.",
20041,Sofa-Shard,Sofa amber praktis. Pakai di arsip setelah unlock.ya.,
20042,Perapian Cokelat-Shard,Perapian cokelat yang berguna. Pakai di arsip setelah unlock.,
20043,Lemari Kayu-Shard,Lemari kayu kuning gelap yg berguna. Pakai di arsip setelah unlock.,
20044,Kursi Gading Putih-Shard,Kursi gading putih yang cantik. Pakai di arsip setelah unlock.,
20045,Meja Gading Putih-Shard,Meja gading putih yang cantik. Pakai di arsip setelah unlock.,
20046,Sofa Gading Putih-Shard,Sofa gading putih yang cantik. Pakai di arsip setelah unlock.,
20047,Perapian Putih-Shard,Perapian poplar yang indah. Bisa dipakai di arsip setelah unlock.,
20048,Kabinet Gading Putih-Shard,Kabinet gading putih yang cantik. Pakai di arsip setelah unlock.,
20049,Kursi Kayu Pinus-Shard,Kursi kayu pinus yang berguna. Pakai di arsip setelah unlock.,
20050,Meja Kayu Pinus-Shard,Meja kayu pinus yang berguna. Pakai di arsip setelah unlock.,
20051,Sofa Kayu Pinus-Shard,Sofa kayu pinus yang berguna. Pakai di arsip setelah unlock.,
20052,Perapian Hitam-Shard,Perapian Hitam yang berguna. Pakai di arsip setelah unlock. Cara mendapatkannya: buah kebun.,
20053,Lemari Kayu Pinus-Shard,Lemari kayu pinus yang berguna. Pakai di arsip setelah unlock.,
20054,Ranjang Kayu Halus-Shard,"Ranjang Kayu yang halus, besar. Pakai di arsip setelah unlock.",
20055,Ranjang Mewah-Shard,Kasur mewah yg nyaman dan elegan. Pakai di arsip setelah unlock.,
20056,Kasur Royal-Shard,"Kasur royal yg nyaman, elegan dan dari golongan atas. Biasa berada di kastil. PPakai di arsip setelah unlock.",
20057,Layar Celesthium Batu-Shard,Papan Celesthium yang bergaya batuan. Pakai di arsip setelah unlock.,
20058,Layar Celesthium Mithril-Shard,"Tirai energi bintang bergaya perak, pakai di arsip setelah unlock.",
20059,Layar Celesthium Lava-Shard,Layar Celesthium bergaya lava. Pakai di arsip setelah unlock.,
20060,George-Shard,Pecinta musik. Selalu tahu musik apa yang sedang populer saat ini. Check pada #cfa7a0f Toko - Skin #n. Dapat di kebun.,@Null@
20061,Anny-Shard,Suka menari. Semua orang terpesona melihatnya menari. Check pada #cfa7a0f Toko - Skin #n. Dapat di kebun.,@Null@
20062,Petasan Besar-Shard,Item yg sangat powerful. Pakai di arsip setelah unlock,@Null@
20063,Ketapel-Shard,Kecepatan tembak yg cepat dan tepat. Pakai di arsip setelah unlock,@Null@
20064,Busur Silang-Shard,Bisa pakai 3 panah sekaligus dlm 1 tembakan. Pakai di arsip setelah unlock,@Null@
20065,Bazoka-Shard,Tembakan api dari bazoka. Pakai di arsip setelah unlock,@Null@
20066,Papan Tanda Kayu-Shard,Papan kayu yangg menarik perhatian. Pakai di arsip setelah unlock.,
20067,Papan Iklan Batu-Shard,Plat batu yg menarik perhatian. Pakai di arsip setelah unlock.,
20068,Papan Tanda Perak-Shard,Papan tanda yg menarik perhatian. Pakai di arsip setelah unlock.,
20069,Papan Iklan Emas-Shard,Papan iklan yang memikat mata. Digunakan dalam arkib setelah diunlock.,
20070,Papan Tanda Wolfram-Shard,Papan tanda yang menarik perhatian. Pakai di arsip setelah unlock.,
20071,Papan Tulis Lava-Shard,Papan tulis menarik perhatian. Pakai di arsip setelah unlock.,
20072,Lentera-Shard,Lentera oriental.  Pakai di arsip setelah unlock,
20073,Lampu Klasik-Shard,Lampu antik dan klasik. Pakai di arsip setelah unlock.,
20074,Lampu Jalan Modern-Shard,Lampu jalan bergaya modern. Cocok untuk meletakkan di atas blok. Pakai di arsip setelah unlock,
20075,Pagar Mithril Hitam-Shard,Pagar Mithril Hitam. Pakai di arsip setelah unlock.,
20076,Pagar Perak Putih-Shard,Pagar perak putih. Dapat dipakai di arsip setelah unlock.,
20077,Pot Bunga Kecil-Shard,Memasukkan tumbuhan kerdil untuk hiasan. Pakai di arsip setelah unlock.,
20078,Pot Bunga Besar-Shard,Dapat sebagai hiasan setelah masukkan tanaman tinggi. Digunakan dalam arkib setelah diunlock.,
20079,Tempat Lilin-Shard,"Gunakan #c0aba1dObor Menyala#n untuk nyalanya. Gunakan alat peraga lain di tempat lilin menyala untuk padamkannya. Kejap, benarkah ini lilin? Pakai di arsip setelah unlock.",
20080,Lampu Gantung-Shard,Lampu gantung yang mewah. Pakai di arsip setelah unlock,
20081,Lampu Dinding Elegan-Shard,"Lampu dinding yg elegan, letak di samping Blok. Pakai di arsip setelah unlock",
20082,Lampu Dinding Istimewa-Shard,"Lampu dinding mewah, letak di samping Blok. Pakai di arsip setelah unlock",
20083,Lampu Meja-Shard,Lampu meja dengan balutan emas. Hanya orang kelas atas yg dapat memiliki.  Pakai di arsip setelah unlock.,
20084,Kembang Api-Shard,"Letakkan di tanah, menyalakan dengan #c0aba1dObor Menyala#n akan menyemburkan kembang api. Cara unlock: Event Khusus Tahun Baru",
20085,Guntingan Kertas (Keberuntungan)-Shard,Papercut Imlek yg sangat indah. Tempel di dinding. Buka :  Event Imlek,@Null@
20086,Guntingan Kertas (Kekayaan)-Shard,Papercut Imlek yg sangat indah. Tempel di dinding. Buka :  Event Imlek,@Null@
20087,Guntingan Kertas (Kesehatan)-Shard,Papercut Imlek yg sangat indah. Tempel di dinding. Buka :  Event Imlek,@Null@
20088,Guntingan Kertas (Kebahagian)-Shard,Papercut Imlek yg sangat indah. Tempel di dinding. Buka :  Event Imlek,@Null@
20089,Lentera Kerajaan-Shard,Lampu oriental gantung yg klasik. Cocok utk bagunan oriental.Buka :  Event Imlek,@Null@
20090,Pot Bunga Merah-Shard,Pot merah. Bisa dekor dgn tanaman kecil. Buka : peluang buka dikebun,@Null@
20091,Pot Bunga Hijau-Shard,Pot hijau. Bisa dekor dgn tanaman kecil. Buka : peluang buka dikebun,@Null@
20092,Guci Porselen Besar-Shard,Pot porslen. Bisa dekor dgn tanaman besar. Buka : peluang buka dikebun,@Null@
20093,Lentera Imlek-Shard,Lentera Imlek yg berciri khas. Sangat elegan! buka :  event Imlek,@Null@
20094,Jetpack-Shard,Penemuan baru dari Prodessor. Tekan tombol lompat utk tembak.  buka :  Event Imlek,@Null@
20095,Lentera Langit-Shard,Dapat terbang bersama permintaan yg kamu buat.buka :  Event Imlek,@Null@
20096,Lentera Teratai-Shard,"Letakkan diatas air agar ia dapat mengalir. Ayo, buat permintaan! buka : Event Imlek",@Null@
20097,Papan Lantai Jingga Ginger-Shard,Blok Hiasan Kayu,
20098,Lantai Kayu Aras-Shard,Dekorasi Blok kayu,@Null@
20099,Batu Bata Kuning-Shard,Terbuat dari Bata kasar dan pasir kuning,
20100,Balok Keramik Vertical-Shard,Buat dari batu vertikal,@Null@
20101,Bata Keramik Empat Kisi-Shard,Terbuat dari batu keramik,@Null@
20102,Balok Keramik Tidak Teratur-Shard,Buat dari batu iregular,@Null@
20103,Benteng Gading Putih-Shard,Benteng kayu yang tidak dapat dilompati.,
20104,Pagar Batu Bata Kasar-Shard,Pagar batu kasar yang tidak bisa loncat melewati,
20105,Pagar Gading Putih-Shard,Pagar kayu yang tidak dapat dilompati.,
20106,Tiang Pagar Kayu-Shard,Tidak bisa loncat melewati pagar kayu,@Null@
20107,Pagar Tembaga-Shard,Pagar tembaga yang tidak bisa dilompati.,
20108,Anak Ikan Dada Emas-Shard,Gunakannya dalam air untuk melahirkan #c0aba1dIkan Nemo Emas#n.,
20109,Ikan Bidadari Emas-Shard,Gunakannya dalam air untuk melahirkan #c0aba1dIkan Bidadari Emas#n.,
20110,Ikan Nemo Emas-Shard,Gunakannya dalam air untuk melahirkan #c0aba1dIkan Nemo Emas#n.,
20111,Pintu Laboratorium-Shard,"Berisi teknologi Horas, tahan terhadap ledakan, dapat ditrigger dengan sinyal Celesthium, tersedia setelah membuka kunci.",@Null@
20112,Cermin Es-Shard,Es yg sangat licin. Jangan sampai jatuh! Dapat digunakan di arsip setelah buka.,@Null@
20113,Lampu Es-Shard,Terang dan kebiruan. Dapat digunakan di arsip setelah buka.,@Null@
20114,Celesthium Mathanus-Shard,"Penuh energi, digunakan sebagai sumber tenaga. Setelah membuka kunci, itu dapat digunakan di peta.",@Null@
20115,Blok Energi Bintang-Shard,Bahan bangunan yang kuat dan indah. Pakai di arsip setelah unlock.,
20116,Papan Perak Energi Bintang-Shard,Bahan bangunan yang kuat dan indah. Pakai di arsip setelah unlock.,
20117,Blok Mithril Ungu-Shard,Material bangunan yang sangat kuat dan indah. Pakai di arsip setelah unlock.,
20118,Papan Mithril Tebal-Shard,Material bangunan yang kuat dan indah. Pakai di arsip setelah unlock.,
20119,Saringan Perak-Shard,Material bangunan yang kokoh dan nyaman. Pakai di arsip setelah unlock.,
20120,Lampu Laboratorium-Shard,Lampu yg sangat terang. Dapat digunakan di arsip setelah buka.,@Null@
20121,Pintu Perak Berkarat-Shard,Pintu perak berkarat. Dikontrol oleh energi bintang. Pakai di arsip setelah unlock.,
20122,Jaring Besi-Shard,"Jaring perak yang berkarat, tampaknya kurang kokoh. Pakai di arsip setelah unlock.",
20123,Papan Mithril Bergaris Vertikal-Shard,"Papan Mithril yang bergaris vertikal, cocok untuk menghalang angin dan matahari. Pakai di arsip setelah unlock.",
20124,Papan Perak Berkarat-Shard,Papan perak yang sudah berkarat. Tampaknya tidak kokoh. Pakai di arsip setelah unlock.,
20125,Papan Perak Bergaris Berkarat-Shard,Papan perak yang berkarat. Tampaknya tidak kokoh. Pakai di arsip setelah unlock.,
20126,Saringan Perak Berkarat-Shard,"Saringan perak yang berkarat, tampaknya kurang kokoh. Pakai di arsip setelah unlock.",
20127,Blok Perak Energi Bintang Berkarat-Shard,"Blok perak energi bintang berkarat, tampaknya tidak kokoh. Pakai di arsip setelah unlock.",
20128,Lampu Fluorescent-Shard,Lampu dengan warna yg bisa membuat orang merasa nyaman. Dapat digunakan di arsip setelah buka.,@Null@
20129,Blok Mithril Bercorak-Shard,"Blok Mithril berwarna kuning dan abu-abu, boleh digunakan sebagai bahan bangunan. Pakai di arsip setelah unlock.",
20130,Blok Mithril Lama-Shard,"Bahan bangunan yang mempunyai perbagai warna; dapat gunakan botol pewarna, senjata paintball, dan telur pewarna untuk mewarnainya. Pakai di arsip setelah unlock.",
20131,Ketapel Fluorescent-Shard,Gunakan untuk menembak sumber cahaya,@Null@
20132,Bom Bola-Shard,Lemparkan dan ia akan meledak dalam beberapa saat,@Null@
20133,Anak Panah Es-Shard,Lemparkan ke target utk membuatnya bergerak lambat,@Null@
20134,Bola Lava-Shard,Lempar ke target utk membuatnya terbakar,@Null@
20135,Busur Energi-Shard,"#c0aba1d Damage : 25#n senjata jarak jauh dari Mathanus, tembakkan #B panah energi #n Buka untuk dipakai diarsip",@Null@
20136,Bola Lava Naga HItam-Shard,Lemparkan ke tanah dan ia akan menghasilkan lava.Buka dan pakai dalam arsip.,@Null@
20137,Bola Chaos Naga Hitam-Shard,Lemparkan. Hati-hati ia akan meledak!  Craft dan pakai di arsip setelah dibuka.,@Null@
20138,Pemantul-Shard,"Dapat mencerminkan laser yang dipancarkan oleh inti raksasa. Setelah membuka kunci, itu dapat dibuat di arsip.",@Null@
20139,Pembatas Ruangan Lipat-Shard,Layar oriental klasik dengan motif bunga. Buat dan pakai setelah unlock.,@Null@
20140,Lentera Lilin Merah-Shard,Lilin antik berwarna merah dengan alas berbentuk bunga teratai. Buat dan pakai setelah unlock.,@Null@
20141,Balok Engsel Bulat-Shard,Engsel bulat yang dapat berputar bebas. Unlock untuk menggunakan.,@Null@
20142,Balok Engsel-Shard,"Digunakan untuk merakit mesin. Saat terhubung ke Celesthium, blok di sisi rotasi akan berputar. Gunakan Editor Urutan untuk mengontrol. Anda dapat menggunakannya setelah membuka kunci.",@Null@
20143,Cakar Mekanik-Shard,"Digunakan untuk merakit mesin. Saat terhubung ke Celesthium, ia dapat mengambil kendaraan atau mahlik apapun. Anda dapat menggunakannya setelah membuka kunci.",@Null@
20144,Lengan Hidrolik-Shard,"Dipakai untuk merakit mesin. Saat menyala, balok di bagian samping akan meregang. Dapat dikontrol dengan Editor Rentetan. Unlock untuk menggunakan.",@Null@
20145,Peredam Benturan-Shard,Digunakan untuk merakit mesin. Anda dapat memunculkan item seperti pegas. Anda dapat menggunakannya setelah membuka kunci.,@Null@
20146,Kabel Pengangkat-Shard,"Digunakan untuk merakit mesin. Saat terhubung ke Celesthium#n, tali yang menghubungkan sisi peregangan akan meregang dan menarik kembali. Anda dapat menggunakannya setelah membuka kunci.",@Null@
