ID,名字,描述,获得方式
12611,Populus euphratica gözyaşları,"Ölü kavak ağaçlarının gözyaşları detoksifiye edebilir, #c0aba1d detoksifikasyon tozu paketini #n temel hammaddeleri işleyebilir!",Ölü bir Populus euphratica gövdesinin yanında görünüyor
12612,Kaktüs çiçeği,Nadir çiçekler #c0aba1d için gerekli malzemelerdir#n,Kaktüsün gövdesinin üstünde olgunlaştığında görünür
12613,Kaktüs meyvesi,#c0aba1d yedikten sonra 20 fiziksel güç kazanır #n,Kaktüsün gövdesinin yan tarafında olgunlaştığında görünür
12614,manganez nodülleri,"Dalış ekipmanını güçlendirmek #c0aba1d , derin denizin yüksek basıncına dayanacak #n sertleştirilmiş cam bloklar yapmak için kullanılır","Manganez metali, plütonyumdaki manganez metalinin sürekli yoğunlaşmasıyla üretilen bir mineraldir, bu nedenle derin denizde sadece hafifçe üretilir."
12615,çiğ yosun,#c0aba1d  #nyedikten sonra 5 fiziksel gücü ve 3 oksijen seviyesini kurtarın. #r çiğ #c0aba1d ishal yiyin #n,Kelp kazancını yok et
12616,Hazine haritası cam şişe,,Şişede bir hazine haritası var
12617,hazine haritası,,Bir hazinenin haritası gibi görünüyor
12618,Tırtıklı eğrelti otlarının diken sapları,"Merkezde yetişen dikenli kök #n tırtıklı eğrelti otu, tam sivri uçları ve özel plastisitesi nedeniyle, genellikle tahkimat oluşturmak için #c0aba1d duvar karelerinin #n sarmak için kullanılır.",Tırtıklı eğrelti damla yok
12619,başak,"#c0aba1d pürüzlü eğrelti #n diken topu büyüme, her zaman açıklanamaz vücuda sopa #r  #c0aba1d hızlı atlama gerekir #n veya #c0aba1d suya batırılmış #n sallamak için #r #c0aba1d İpuçları #n: vücut yapışkan diken topu bulmak, lütfen zamanında onunla başa çıkmak, aksi takdirde sonuçları düşünülemez!",
12620,Göğüs korsan gemisi tarafından düştü,,
12621,Sebze,"@item_226#, @item_227#, @item_228#, @item_229#, @item_234#, @item_236#, @item_241# ve diğer sebzeler dahil.",İlgili birliklerin toplanmasıyla elde edilir
12622,Yak Boynuzu,"Keskin boynuzlar, içi boş iç kısımları olan yetişkin yakların kafalarından düştü. Icefield bölgelerindeki insanlar genellikle @item_12711 # yapmak için bu boynuzları alırlar.","Yetişkin yaks arasında sık sık çatışmalar vardır. Şiddetli bir düellodan sonra, boynuzları yanlışlıkla düşebilir."
12623,Kar Tavşanı Kürkü,Soğuğa dayanıklı ekipman üretmek için kullanılabilecek yumuşak ve sıcak kürk.,Kar Tavşanlarını yenerek düştü.
12624,Icefield Köylü Hatıra Eşyası,Icefield köylülerinin arkadaşlarının anılarını içeren aksesuarları#rCan @item_1201# üzerine bir anı olarak yerleştiriliyor.,
12625,Buz Taşı,"#c0aba1dCharge#n hedef konuma atın ve atın. Bir yaratığa çarparsa, #c0aba1dslow#n yaratığı aşağı indirir. Bir bloğa çarparsa, Doğal Buz üretilecektir.",
12626,Bandaj,"Acil tıbbi malzemeler, vahşi doğada hayatta kalmak için çok kritik öğeler",
12627,Arazi Haritası,,Arazi haritasına benziyor
12703,Taze çirkin balık,"#c0aba1d 10 fiziksel gücü geri kazanmak için #n yiyin, çiğ #c0aba1d ishal yiyin #n, #c0aba1d şenlik ateşi üzerinde pişmiş #n daha lezzetli olacak, buz ayılarını evcilleştirmek için de kullanılabilir #r besleme #c0aba1d bebek mühür montajı #n yemek 20 sağlık noktasını geri yükleyebilir",
12704,Taze garip balık,"#c0aba1d 10 fiziksel gücü geri kazanmak için #n yiyin, çiğ #c0aba1d ishal yiyin #n, #c0aba1d şenlik ateşi üzerinde pişmiş #n daha lezzetli olacak, buz ayılarını evcilleştirmek için de kullanılabilir #r besleme #c0aba1d bebek mühür montajı #n yemek 20 sağlık noktasını geri yükleyebilir",
12705,Izgara çirkin balık,#c0aba1d  #n yedikten sonra 20 fiziksel gücü geri kazanmak#r bir kamp ateşinde taze balıkla kavrulmuş ve Yan yengeç evcilleştirmek için de kullanılabilir,
12706,Izgara Kiki Balık,#c0aba1d  #n yedikten sonra 20 fiziksel gücü geri kazanmak#r bir kamp ateşinde taze balıkla kavrulmuş ve Yan yengeç evcilleştirmek için de kullanılabilir,
12707,Çirkin kurutulmuş balık,"#c0aba1d  #n yedikten sonra 15 fiziksel gücü geri kazanmak için#r balık kurutma rafındaki çirkin balıkları kurutmak için, aynı zamanda balıkçı köyündeki köylülerin yemeği",
12708,Güneşte kurutulmuş kiki balığı,"#c0aba1d yedikten sonra 15 fiziksel gücü geri kazanmak #n #r balık kurutma rafındaki garip balıkları kurutun, bu da balıkçı köyündeki köylülerin yemeğidir",
12709,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12710,Buz Ruhu Özü,"Miras'ın soğuk bölgesinde ortaya çıkan elemental koruyucunun yaşam özü #c0aba1dIce Ruh Muhafızı#n. Cansız bir #c0aba1dsnowman#n'ye transfer edildiğinde, onlara geçici yaşam belirtileri verir.#rCan ayrıca @item_12316#'ı onarmak için de kullanılır.",Buz Ruhu Muhafızlarını Yenmenin Ödülleri
12711,Savaş Kornuzu,"Kullandıktan sonra, #c0aba1d32*32#n aralığında savaşa hazır olan #c0aba1dvillage yoldaşı yanınızda #c0aba1dfighting sizinle birlikte çağırabilirsiniz.#n #rAfter Tekrar kullanarak, eğer bir toteme yakınsa, yoldaşlar toteme geri döneceklerdir. Totem'in menzili içinde değilse, yoldaşlar bir sonraki emriniz için yerinde bekleyeceklerdir.",
12713,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12714,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12715,Kırmızı Alg Gücü İksiri,#c0aba1deating#n sonrasında 60 saniye boyunca #c0aba1dGeri Tepme efekti#n elde edin. Ama balıklarda işe yaramıyor.,
12716,Solunum İksiri,#c0aba1deating#n sonrasında 180 saniye boyunca #c0aba1dSualtı Nefes Alma Yeteneğini#n alın,
12717,martı tüyleri,"Martı tüyleri, @item_11303# bunu yapabilir ve aynı zamanda @item_12062# yapmak için hammaddedir",Saldırı martıları düşüyor
12718,renksiz bezler,"Usta masasında kırmızı, sarı, mavi ve beyaz pigmentler haline getirilebilir",Denizatı düşüşünü yenmek
12719,Denizanası çekirdeği,Hayal edilemez esnekliğe sahiptir ve #c0aba1d su basıncı topu yapmak için kullanılabilir #n,Denizanası damlasını yendi
12720,Drift şişesi,Git ve en son oyun sürümünü indir!,
12721,Sıradan olta çubuğu,"Biraz balık yakalayabiliyorsanız, en az 2 derin suda balık tutmalısınız",Zanaatkar masasında yapılan
12722,Boynuz mercan olta çubuğu,Nadir balık yakalama şansı! Balıkçılık en az 2 blok derinliğinde olmalı,"Tarifin kilidi açıldıktan sonra, zanaatkar masasında yapın ve alın."
12723,Kabarcık mercan olta çubuğu,Nadir balık yakalama şansı! Balıkçılık en az 2 blok derinliğinde olmalı,"Tarifin kilidi açıldıktan sonra, zanaatkar masasında yapın ve alın."
12724,Disk mercan olta çubuğu,Nadir balık yakalama şansı! Balıkçılık en az 2 blok derinliğinde olmalı,"Tarifin kilidi açıldıktan sonra, zanaatkar masasında yapın ve alın."
12725,Ağaç mercan olta çubuğu,Nadir balık yakalama şansı! Balıkçılık en az 2 blok derinliğinde olmalı,"Tarifin kilidi açıldıktan sonra, zanaatkar masasında yapın ve alın."
12726,Sıradan balık yüzer,Git ve en son oyun sürümünü indir!,
12727,Boynuzlu mercan balığı yüzer,Git ve en son oyun sürümünü indir!,
12728,Kabarcık mercan balık şamandıra,Git ve en son oyun sürümünü indir!,
12729,Disk mercan balık şamandıra,Git ve en son oyun sürümünü indir!,
12730,Ağaç mercan balık şamandıra,Git ve en son oyun sürümünü indir!,
12731,Tibet Tilki Ödülü,Kar bloklarının derinliklerine gömülmüş hazine.,
12732,Çiçekler,"@item_300#, @item_301#, @item_305#, @item_761# ve çeşitli çiçekler dahil.",
12733,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12734,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12735,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12736,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12737,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12738,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12739,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12740,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12741,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12742,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12743,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12744,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12745,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12746,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12747,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12748,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12749,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12750,Mutlu havai fişekler,Kullanım için arşive ayıklayın: Gökyüzüne gülen yüz desenli ateş havai fişekleri. #r (satın alırken#c0aba1d mini fasulye #nx300 ),
12751,İyi şanslar havai fişekler,Kullanım: Gökyüzüne #r bükülmüş bir yumurta deseni havai fişek vur (satın alırken #c0aba1d rüya kodu #nx1 verin),
12752,Canlılık havai fişekleri,Kullanım: Gökyüzüne meyve desenli havai fişek #r (#c0aba1d etkinlik kuponu #nx1),
12753,Doğum günü havai fişekleri,"Kullanım: Gökyüzüne bir ""Doğum Günü Pastası"" havai fişek vur",
12754,Şanslı havai fişekler,Şanslı bir yıldızın desenini gökyüzüne vur,
12755,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12756,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12757,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12758,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12759,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12760,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12761,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12762,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12763,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12764,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12765,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12766,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12767,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12768,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12769,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12770,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12771,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12772,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12773,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12774,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12775,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12776,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12777,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12778,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12779,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12780,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12781,Şerit havai fişekler,Kullanımdan sonra birçok şerit efekti patlayacaktır.,
12782,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12783,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12784,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12785,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12786,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12787,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12788,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12789,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12790,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12791,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12792,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12793,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12794,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12795,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12796,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12797,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12798,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12799,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12800,Büyü Tarifi - İnsan Avcısı,Bir büyünün kilidini aç.,
12801,Büyü Tarifi - Fly,Bir büyünün kilidini aç.,
12802,Büyü Tarifi - Çoklu Saldırılar,Bir büyünün kilidini aç.,
12803,Büyü Tarifi - Vampir,Bir büyünün kilidini aç.,
12804,Büyü Tarifi - Geri Çekilme Savunması,Bir büyünün kilidini aç.,
12805,Büyü Tarifi - Zayıflık,Bir büyünün kilidini aç.,
12806,Büyü Tarifi - Uzaktan Vampir,Bir büyünün kilidini aç.,
12807,Büyü Tarifi - Dondurulmuş,Bir büyünün kilidini aç.,
12808,Büyü Tarifi - Karanlık Koruma,Bir büyünün kilidini aç.,
12809,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12810,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12811,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12812,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12813,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12814,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12815,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12816,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12817,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12818,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12819,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12820,Basketbol forması,"El basketbol çalışma moduna girecektir. #r top olmadan #c0aba1d sol düğme çalmak için #n , uzun basın #c0aba1d sağ düğme #n engellemek için, #c0aba1d alan #n engellemek için. Topla #r , geçmek için #c0aba1d sol düğmeye #n , ateş etmek için #c0aba1d sağ düğmeye #n, sürat yapmak için #c0aba1d alan #n.",
12821,Futbol forması,"#r topu çalmak için #c0aba1d sol düğme #n , #c0aba1d sağ düğme #n mücadele. #r top #c0aba1d sol düğme ateş #n , #c0aba1d sağ düğme topu asmak için #n ; hepsi saklanabilir.",
12822,Gökyüzü Roketi,Otomatik olarak arkada donatmak ve uçarken hafifçe yukarı doğru hızlanmak için ön görüş #n.#rPress [Zıpla] #c0aba1dtowards çok hızlı bir şekilde uçmak için kullanın.#r#c0aba1dOyundaki herhangi bir davranışı taklit etmeyin.#n,
12823,Çapraz Bomba,"Kullanımdan sonra, #c0aba1ddibine bir bomba #n ve 3 saniye sonra çapraz şekilli bir patlama meydana geldi ve patlama mesafesi 6 blok oldu.",Bir şans elde etmek için Dungeon Treasure kutusunu açın.
12824,Çapraz bomba,"Kullanımdan sonra, #c0aba1ddibine bir bomba #n ve 3 saniye sonra çapraz şekilli bir patlama meydana geldi ve patlama mesafesi 3 kareydi.",Bir şans elde etmek için Dungeon Treasure kutusunu açın.
12825,Tek yönlü bomba,"Kullanımdan sonra, #c0aba1ddibine bir bomba #n ve 3 saniye sonra doğrusal bir patlama meydana geldi ve patlama mesafesi 7 blok oldu.",Bir şans elde etmek için Dungeon Treasure kutusunu açın.
12826,Tek yönlü bomba,"Kullanımdan sonra, #c0aba1ddibine bir bomba #n ve 3 saniye sonra doğrusal bir patlama meydana geldi ve patlama mesafesi 4 kareydi.",Bir şans elde etmek için Dungeon Treasure kutusunu açın.
12827,Hava balonu,"Renkli süslemeler. Yerleştirmek için #r tıklayın, yerleştirdikten sonra dürtmek için tıklayın.",Çocuk Günü etkinlikleri sırasında 1 Haziran tüccarlarından satın alındı.
12828,Renkli balon,Uçmak için tıklayın ve uçtuktan sonra dürtmek için tıklayın.,Yıldönümü etkinliği sırasında yıldönümü tüccarından satın alındı.
12829,El havai fişekleri,Havai fişekleri elinizde tutun ve yola çıkın. Başlamak için Kullan 'a tıklayın.,
12830,Kongming Fener,Kullanımdan sonra serbest bırakılabilir. #r kalkıştan sonra aşk şeklindeki havai fişekleri tetikleme şansı vardır.,
12831,Küçük Yıldız Havai Fişekleri,Kullanım için arşive çıkarın: Muhteşem havai fişekleri gökyüzüne vurun ve deneyim için toplam 10 yıldız bırakın.,
12832,Büyük yıldız havai fişek,Kullanım için arşive çıkarın: Muhteşem büyük havai fişekleri gökyüzüne vurun ve deneyim için toplam 50 yıldız bırakın.,
12833,Yağmur ve parıltı havai fişekleri,"Kullandıktan sonra, gökyüzüne parlak havai fişekler başlatın ve yakındaki #c0aba1d yağmur #ndeğiştirin. #r kullanım için arşive çıkarılmalıdır.",
12834,Gece gündüz havai fişekler,"Kullandıktan sonra, gökyüzüne parlak havai fişekler çekin ve yakındaki #c0aba1d gündüz ve gece modu #ndeğiştirin. #r kullanım için arşive çıkarılmalıdır.",
12835,Canavar havai fişek yok,"Kullandıktan sonra, gökyüzüne parlak havai fişekler ateşleyin, #c0aba1d yakındaki tüm canavarları #nkorkutun ve görünümü yasaklayın. Tekrar kullandıktan sonra, fırçalama canavarlarına devam edin. #r kullanım için arşive çıkarılmalıdır.",
12836,Kırmızı yeni yıl havai fişek,"Kullandıktan sonra doğrudan öne uçun, Nian canavarına çarpın ve korku durumuna girmesine izin verin. Nian canavar yumurtalarını şanslı toplarla işleyebilir.",Bahar Şenliği etkinlikleri sırasında Bahar Şenliği tüccarlarından satın alındı.
12837,Mor yeni yıl havai fişek,"Kullandıktan sonra doğrudan öne uçun, Nian canavarına çarpın ve korku durumuna girmesine izin verin. Nian canavar yumurtalarını şanslı toplarla işleyebilir.",Bahar Şenliği etkinlikleri sırasında Bahar Şenliği tüccarlarından satın alındı.
12838,Yeşil yeni yıl havai fişek,"Kullandıktan sonra doğrudan öne uçun, Nian canavarına çarpın ve korku durumuna girmesine izin verin. Nian canavar yumurtalarını şanslı toplarla işleyebilir.",Bahar Şenliği etkinlikleri sırasında Bahar Şenliği tüccarlarından satın alındı.
12839,Tatil şanslı çanta,"Açıldıktan sonra rastgele bir ödül, iyi şanslar ve sağlık alabilirsiniz.",
